Time_ms,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C
118000,29.50,34.75,36.75,36.50,35.50
118500,29.50,35.00,36.75,36.50,35.50
119000,29.50,35.00,36.75,36.50,35.50
119500,29.50,35.00,36.75,36.50,35.50
120000,29.50,34.75,36.75,36.50,35.50
120500,29.50,35.00,36.75,36.50,35.50
121000,29.50,35.00,36.75,36.50,35.50
121500,29.50,34.75,36.75,36.50,35.50
122000,29.50,34.75,36.75,36.50,35.50
122500,29.50,35.00,36.75,36.50,35.50
123000,29.50,34.75,36.75,36.50,35.50
123500,29.50,35.00,36.75,36.50,35.50
124000,29.50,35.00,36.75,36.50,35.50
124500,29.50,35.00,36.75,36.50,35.50
125000,29.50,35.00,36.75,36.50,35.50
125500,29.50,34.75,36.75,36.50,35.50
126000,29.50,34.75,36.75,36.50,35.50
126500,29.50,35.00,36.75,36.50,35.50
127000,29.50,34.75,36.75,36.50,35.50
127500,29.50,34.75,36.75,36.50,35.50
128000,29.50,34.75,36.75,36.50,35.50
128500,29.50,34.75,36.75,36.50,35.50
129000,29.50,35.00,36.75,36.50,35.50
129500,29.50,34.75,36.75,36.50,35.50
130000,29.50,34.75,36.75,36.50,35.50
130500,29.50,34.75,36.75,36.50,35.50
131000,29.50,34.75,36.75,36.50,35.50
131500,29.50,34.75,36.75,36.50,35.50
132000,29.50,34.75,36.75,36.50,35.50
132500,29.50,35.00,36.75,36.50,35.50
133000,29.50,34.75,36.75,36.50,35.50
133500,29.50,34.75,36.75,36.50,35.50
134000,29.50,35.00,36.50,36.50,35.50
134500,29.50,34.75,36.75,36.50,35.50
135000,29.50,34.75,36.75,36.50,35.50
135500,29.50,35.00,36.75,36.50,35.50
136000,29.50,34.75,36.50,36.25,35.50
136500,29.50,34.75,36.75,36.50,35.50
137000,29.50,34.75,36.50,36.50,35.50
137500,29.50,34.75,36.50,36.50,35.50
138000,29.50,34.75,36.50,36.25,35.50
138500,29.50,34.75,36.75,36.50,35.50
139000,29.50,34.75,36.75,36.50,35.25
139500,29.50,34.75,36.75,36.50,35.25
140000,29.50,34.75,36.75,36.50,35.50
140500,29.50,34.75,36.50,36.25,35.50
141000,29.50,34.75,36.75,36.50,35.50
141500,29.50,34.75,36.75,36.50,35.50
142000,29.50,34.75,36.50,36.25,35.50
142500,29.50,34.75,36.50,36.25,35.25
143000,29.50,34.75,36.50,36.50,35.50
143500,29.50,34.75,36.50,36.50,35.50
144000,29.50,34.75,36.50,36.25,35.25
144500,29.50,34.75,36.50,36.25,35.50
145000,29.50,34.75,36.75,36.50,35.50
145500,29.50,34.75,36.75,36.50,35.25
146000,29.50,34.75,36.75,36.50,35.25
146500,29.50,34.75,36.50,36.50,35.50
147000,29.25,34.75,36.75,36.25,35.25
